"price","no_rooms","no_bathrooms","area","neighborhood","municipality","type","cost_m2"
18500,3,2,140,"Fraccionamiento Del Pilar Residencial","Tlajomulco de Zúñiga","House",132.142857142857
17500,3,1,96,"Fraccionamiento Rinconada de Los Fresnos","Zapopan","House",182.291666666667
15000,2,2,130,"Nuevo México","Zapopan","House",115.384615384615
6100,3,2,90,"Fraccionamiento Palermo","Zapopan","House",67.7777777777778
13900,3,3,117,"Altavista Residencial","Zapopan","House",118.803418803419
15000,2,2,80,"Jardines de Ixtepete","Zapopan","House",187.5
43000,3,2,195,"Ciudad Granja","Zapopan","House",220.512820512821
14000,3,2,130,"Fraccionamiento Arvento","Tlajomulco de Zúñiga","House",107.692307692308
26000,4,3,150,"Santillana","Zapopan","House",173.333333333333
8500,3,2,70,"Tlajomulco de Zúñiga","Tlajomulco de Zúñiga","House",121.428571428571
3700,4,3,120,"Nuevo México","Zapopan","House",30.8333333333333
24000,4,4,184,"Monumental","Guadalajara","House",130.434782608696
21160,2,2,250,"Tlajomulco de Zúñiga","Tlajomulco de Zúñiga","House",84.64
85000,3,3,400,"Puerta de Hierro","Zapopan","House",212.5
25000,3,2,140,"Punto Sur","Tlajomulco de Zúñiga","House",178.571428571429
25000,3,2,160,"Bosques Vallarta","Zapopan","House",156.25
22000,3,4,295,"Santa Anita","Tlajomulco de Zúñiga","House",74.5762711864407
24900,3,4,250,"San Agustín","Tlajomulco de Zúñiga","House",99.6
14900,2,2,109,"Altavista Residencial","Zapopan","House",136.697247706422
8500,2,1,91,"Adamar","Tlajomulco de Zúñiga","House",93.4065934065934
17500,4,2,170,"Fraccionamiento Senderos de Monte Verde","Tlajomulco de Zúñiga","House",102.941176470588
14000,3,2,107,"San Agustín","Tlajomulco de Zúñiga","House",130.841121495327
10500,3,2,99,"Pueblo Nextipac","Zapopan","House",106.060606060606
32900,5,3,220,"La Estancia","Zapopan","House",149.545454545455
8000,2,1,69,"Jardines de San José","Guadalajara","House",115.942028985507
24900,2,2,165,"Ciudad Bugambilia","Zapopan","House",150.909090909091
8900,3,4,120,"San Agustín","Tlajomulco de Zúñiga","House",74.1666666666667
29900,5,5,165,"Bosques Vallarta","Zapopan","House",181.212121212121
40000,3,3,338,"Fraccionamiento Bugambilias","Zapopan","House",118.343195266272
35000,4,4,330,"Ciudad Bugambilia","Zapopan","House",106.060606060606
18000,3,3,105,"Los Robles","Zapopan","House",171.428571428571
15000,3,1,140,"Fraccionamiento El Alcázar (Casa Fuerte)","Tlajomulco de Zúñiga","House",107.142857142857
15000,3,2,96,"Fraccionamiento Rinconada de Los Fresnos","Zapopan","House",156.25
14000,3,2,162,"La Tijera","Tlajomulco de Zúñiga","House",86.4197530864197
21000,3,2,119,"Fraccionamiento Nueva Galicia Residencial","Tlajomulco de Zúñiga","House",176.470588235294
41900,5,2,209,"Americana","Guadalajara","House",200.478468899522
41300,3,5,315,"Fraccionamiento Jardín Real","Zapopan","House",131.111111111111
35000,3,2,252,"Fraccionamiento Solares","Zapopan","House",138.888888888889
23500,3,3,201,"Fraccionamiento Jardín Real","Zapopan","House",116.915422885572
22750,3,2,122,"Ladrón de Guevara","Guadalajara","House",186.475409836066
50000,3,2,300,"Villa Universitaria","Zapopan","House",166.666666666667
25000,4,3,375,"Juan Manuel Vallarta","Zapopan","House",66.6666666666667
15000,2,2,80,"Mirador Del Sol","Zapopan","House",187.5
43000,4,3,290,"Ciudad Granja","Zapopan","House",148.275862068966
17500,3,2,130,"Fraccionamiento Jardín Real","Zapopan","House",134.615384615385
7900,3,2,96,"Fraccionamiento Misión Del Bosque","Zapopan","House",82.2916666666667
25000,5,3,170,"Jardines del Bosque Norte","Guadalajara","House",147.058823529412
38000,4,3,373,"San Wenceslao","Zapopan","House",101.876675603217
25000,4,2,306,"Arcos Vallarta","Guadalajara","House",81.6993464052288
16500,3,2,102,"Nuevo México","Zapopan","House",161.764705882353
10000,3,2,89,"Tlajomulco de Zúñiga","Tlajomulco de Zúñiga","House",112.359550561798
16400,2,2,76,"La Aurora","Zapopan","House",215.789473684211
46000,3,3,200,"El Bajío","Zapopan","House",230
8000,3,2,75,"Alta California Residencial","Tlajomulco de Zúñiga","House",106.666666666667
13500,3,2,84,"Santa Ana Tepetitlán","Zapopan","House",160.714285714286
18000,3,3,260,"Bosques de Santa Anita","Tlajomulco de Zúñiga","House",69.2307692307692
32000,4,4,164,"Mezquitan","Guadalajara","House",195.121951219512
20000,3,2,69,"Jardines del Valle","Zapopan","House",289.855072463768
16000,3,2,194,"Fraccionamiento Villa California","Tlajomulco de Zúñiga","House",82.4742268041237
14000,3,3,115,"Jardines El Sauz","Guadalajara","House",121.739130434783
21500,4,3,127,"Coto Nueva Galicia","Tlajomulco de Zúñiga","House",169.291338582677
15000,3,3,168,"Fraccionamiento Cortijo de San Agustin","Tlajomulco de Zúñiga","House",89.2857142857143
23500,3,2,130,"San Juan de Ocotan","Zapopan","House",180.769230769231
15000,2,1,58,NA,"Zapopan","House",258.620689655172
36000,4,2,229,"Americana","Guadalajara","House",157.205240174672
5000,2,1,85,"Fraccionamiento Hacienda las Palomas","Zapopan","House",58.8235294117647
11000,1,3,74,"Terrazas Monraz","Guadalajara","House",148.648648648649
14500,3,2,60,"Paseos del Sol","Zapopan","House",241.666666666667
16000,3,1,80,"Jardines del Valle","Zapopan","House",200
15000,3,2,143,"Villas Del Tepeyac","Zapopan","House",104.895104895105
19500,4,4,124,"Tepeyac","Zapopan","House",157.258064516129
12000,5,2,109,"Fraccionamiento Altus Quintas","Zapopan","House",110.091743119266
35000,3,3,300,"Fraccionamiento Vallarta Norte","Guadalajara","House",116.666666666667
17000,4,3,242,"Santa Anita","Tlajomulco de Zúñiga","House",70.2479338842975
24000,3,2,230,"Bosques de Santa Anita","Tlajomulco de Zúñiga","House",104.347826086957
18500,4,5,140,"Fraccionamiento Del Pilar Residencial","Tlajomulco de Zúñiga","House",132.142857142857
40000,5,3,233,"Santillana","Zapopan","House",171.673819742489
21000,3,2,110,"San Juan de Ocotan","Zapopan","House",190.909090909091
33000,5,5,146,"Fraccionamiento Solares","Zapopan","House",226.027397260274
20500,3,3,147,"Tepeyac","Zapopan","House",139.455782312925
8000,1,3,40,"Fraccionamiento Camino Real","Zapopan","House",200
20000,3,2,230,"Fraccionamiento La Cima","Zapopan","House",86.9565217391304
13500,2,2,159,"Fraccionamiento Villa California","Tlajomulco de Zúñiga","House",84.9056603773585
33600,4,3,350,"Ciudad Del Sol","Zapopan","House",96
55000,3,3,245,"Valle Real","Zapopan","House",224.489795918367
25000,3,2,180,"Bosques de Santa Anita","Tlajomulco de Zúñiga","House",138.888888888889
32900,5,2,220,"La Estancia","Zapopan","House",149.545454545455
