Price,No_rooms,No_bathrooms,Area,Adress,Colony,Type
15000,3,2,123,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
48000,4,4,550,Fraccionamiento Valle Imperial,Zapopan,House
55000,3,3,300,Valle Real,Zapopan,House
25000,3,2,146,El Palomar,Tlajomulco de Zúñiga,House
46000,3,4,301,Valle Real,Zapopan,House
8500,2,1,87,Fraccionamiento Campestre Los Robles,Zapopan,House
130000,4,4,1690,El Palomar,Tlajomulco de Zúñiga,House
9000,3,2,75,Vista Sur Residencial,Tlajomulco de Zúñiga,House
13500,3,2,139,Fraccionamiento Villa California,Tlajomulco de Zúñiga,House
25000,4,3,220,Vallarta Poniente,Guadalajara,House
22000,3,2,190,Punto Sur,Tlajomulco de Zúñiga,House
130000,4,4,1690,El Palomar,Tlajomulco de Zúñiga,House
14000,3,2,105,Fraccionamiento Residencial San Isidro,Zapopan,House
37000,4,3,220,Fraccionamiento Jardín Real,Zapopan,House
15000,2,2,99,Madeiras,Zapopan,House
12500,2,2,83,El Quemado,Zapopan,House
35000,4,5,442,Residencial Provenza,Tlajomulco de Zúñiga,House
25000,4,2,250,Paseos del Sol,Zapopan,House
120000,4,4,850,Altamira,Zapopan,House
23000,4,3,160,Fraccionamiento Valle Imperial,Zapopan,House
14500,3,2,120,Girasoles Elite,Zapopan,House
23000,3,2,131,Punto Sur,Tlajomulco de Zúñiga,House
65000,3,3,480,Rancho Nuevo,Guadalajara,House
15500,3,2,120,El Fortín,Zapopan,House
17500,2,2,117,Fraccionamiento Valle Imperial,Zapopan,House
26000,3,4,165,Zapopan,Jalisco,House
11000,2,2,90,Independencia,Guadalajara,House
12000,3,2,122,Alta California Residencial,Tlajomulco de Zúñiga,House
22200,3,2,95,Fraccionamiento Valle Esmeralda,Zapopan,House
28200,1,2,170,Lomas de Guadalupe,Zapopan,House
10500,3,2,107,Adamar,Tlajomulco de Zúñiga,House
60000,3,3,300,Providencia,Guadalajara,House
25000,4,2,220,Jardines del Bosque,Guadalajara,House
30000,3,2,298,Bosques Vallarta,Zapopan,House
20500,3,3,130,Fraccionamiento Jardines Vallarta,Zapopan,House
15000,1,2,253,El Zapote Del Valle,Tlajomulco de Zúñiga,House
130000,3,3,1200,Country Club,Guadalajara,House
17000,3,2,119,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
12000,3,3,80,Fraccionamiento Parques de Tesistán,Zapopan,House
12500,3,2,96,San Agustín,Tlajomulco de Zúñiga,House
45000,1,3,364,Fraccionamiento Arauca,Zapopan,House
16000,3,2,105,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,House
38000,3,2,400,Rancho Contento,Zapopan,House
45000,4,4,350,Providencia,Guadalajara,House
90000,3,3,430,Puerta de Hierro,Zapopan,House
43000,6,5,300,Fraccionamiento Providencia ,Guadalajara,House
38000,4,4,230,Fraccionamiento Jardín Real,Zapopan,House
20000,7,4,172,Barrio El Retiro,Guadalajara,House
32000,4,4,143,Santillana,Zapopan,House
45000,4,2,310,Chapalita Oriente,Zapopan,House
55000,3,5,328,Valle Real,Zapopan,House
30000,3,3,155,Fraccionamiento Solares,Zapopan,House
120000,3,4,551,Valle Real,Zapopan,House
13000,4,2,120,Real del Sol,Tlajomulco de Zúñiga,House
60000,4,3,1410,El Palomar,Tlajomulco de Zúñiga,House
28000,3,4,205,Fraccionamiento Solares,Zapopan,House
65000,3,4,296,Villa Universitaria,Zapopan,House
16300,3,2,148,Jardines Del Sur,Guadalajara,House
125000,5,5,1019,Puerta de Hierro,Zapopan,House
25000,8,3,174,Guadalajara Centro,Guadalajara,House
27000,3,4,200,Fraccionamiento Solares,Zapopan,House
24000,2,4,350,Colinas de Santa Anita,Tlajomulco de Zúñiga,House
